FID,Project_Name,,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Coordinates,,geom,Route
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c4,Resubdivision Of Lot 309 Daniels Mill Overlook,,06-06-2003,25-06-2003,5:00 PM,(On Site),8651 Stonehouse Dr,Ellicott City,21043,"(39.2998,-76.8136)",,POINT (1365138.8377683535 594754.6250721905),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c5,Hosanna Baptist Church - CONDITIONAL USE,,05-06-2003,25-06-2003,7:00 PM,(On Site),11424 Old Frederick Rd,Marriottsville,21044,"(39.3199,-76.9091)",,POINT (1338084.3341963515 602078.5562121924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c6,10151 Rodona Drive,,06-06-2003,23-06-2003,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,"(39.2019,-76.8629)",,POINT (1351176.8411783502 559170.2837691903),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c7,Age Restricted Project,,05-06-2003,20-06-2003,10:00 AM,Harman Realty Office,Harman St & Montgomery Rd,Elkridge,21075,"(39.2098,-76.7248)",,POINT (1390306.9910043515 562028.9442801923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c8,"Kimberly Homes Ellicott Properties, LLC",,04-06-2003,19-06-2003,5:00 PM,"Reese and Carney, LLP",10715 Charter Dr  Ste 200,Columbia,21044,"(39.2777,-76.8541)",,POINT (1353667.413106352 586717.2106701918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3c9,Hillside at Rocky Gorge IV,,04-06-2003,19-06-2003,5:30 PM,(Model Home),9695 Norfolk Ave,Laurel,20723,"(39.1323,-76.8775)",,POINT (1347028.3441503532 533858.3559141923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ca,Hillside at Rocky Gorge III,,04-06-2003,19-06-2003,5:30 PM,(Model Home),9596 Norfolk Ave,Laurel,20723,"(39.1323,-76.8775)",,POINT (1347028.3441503532 533858.3559141923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3cc,Souder Property,,30-05-2003,19-06-2003,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.1404,-76.8838)",,POINT (1345246.2872223482 536786.8374171909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3cd,Day Care Center - CONDITIONAL USE,,02-06-2003,18-06-2003,7:00 PM,,1201 Millgrove Rd,Silver Spring,20905,"(39.1178,-76.8606)",,POINT (1351808.269746352 528582.5072061922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ce,Age Restricted Housing - CONDITIONAL USE,,27-05-2003,17-06-2003,6:00 PM,Church of God (Dining Hall),7340 Longview Rd,Simpsonville,21044,"(39.1713,-76.8853)",,POINT (1344818.3441623524 548011.289183192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d1,8414 Leishear Road,,30-05-2003,17-06-2003,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,"(39.2843,-76.8628)",,POINT (1351194.6957563497 589118.3982231915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d2,Igler Property,,29-05-2003,13-06-2003,5:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2419,-76.7987)",,POINT (1369347.700274352 573711.5963061918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d3,Gibson Property II,,21-05-2003,11-06-2003,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2509,-76.8035)",,POINT (1368009.7405483536 576962.6362461913),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d5,Albright Property,,21-05-2003,09-06-2003,5:30 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2132,-76.7188)",,POINT (1391999.2082303502 563266.4486331921),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d6,Granite Manor,,23-05-2003,06-06-2003,6:00 PM,(On Site),3713 Fells Ln,Ellicott City,21043,"(39.2708,-76.8002)",,POINT (1368937.0449803509 584227.2922731917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d7,9110 Sybert Dr,,22-05-2003,05-06-2003,5:00 PM,(On Site),9110 Sybert Dr,Ellicott City,21043,"(39.2439,-76.8281)",,POINT (1361014.4302503504 574431.6252861898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d8,Clarke Property,,21-05-2003,05-06-2003,10:00 AM,(On Site),4845 Bonnie View Ct,Ellicott City,21043,"(39.2366,-76.7844)",,POINT (1373418.544058349 571757.3358321916),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3d9,Marydell Addition,,22-05-2003,05-06-2003,6:00 PM,(On Site),9230 Marydell Rd,Ellicott City,21042,"(39.2937,-76.831)",,POINT (1360192.2694443539 592520.7169791907),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3da,St. John's Point,,22-05-2003,05-06-2003,6:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2621,-76.8246)",,POINT (1362016.5538663492 581065.3468281906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3db,9251 Coleman Thomas Dr,,22-05-2003,05-06-2003,6:00 PM,(On Site),9251 Coleman Thomas Dr,Columbia,21046,"(39.1685,-76.8329)",,POINT (1359678.1709603518 547019.9765571915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3dc,Marshalee Woods Active Adult - CONDITIONAL USE,,20-05-2003,05-06-2003,5:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21043,"(39.2099,-76.7571)",,POINT (1381135.972844351 562074.7643061914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3dd,Toliver Overlook,,22-05-2003,05-06-2003,6:00 PM,(On Site),3041 Bethany Ln,Ellicott City,21042,"(39.2879,-76.8565)",,POINT (1352980.1535563543 590413.723085193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3de,Hebron Manor,,20-05-2003,05-06-2003,5:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,"(39.2971,-76.842)",,POINT (1357101.443608351 593783.3132511918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3df,Woodland Road - Lot 1,,16-05-2003,04-06-2003,5:30 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2421,-76.8481)",,POINT (1355355.0958363488 573779.9626941923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e0,Woodland Road - Lot 2,,16-05-2003,04-06-2003,6:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2421,-76.8481)",,POINT (1355355.0958363488 573779.9626941923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e1,German Road,,19-05-2003,03-06-2003,6:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.2891,-76.8581)",,POINT (1352538.6070083529 590860.6501641907),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e2,Yaw Property,,16-05-2003,02-06-2003,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,"(39.2331,-76.7692)",,POINT (1377731.4165663533 570518.7405261919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e3,Stone Manor  Sec. 3,,07-05-2003,29-05-2003,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2513,-76.801)",,POINT (1368720.2393903509 577113.1877601929),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e4,Hale Property,,13-05-2003,28-05-2003,4:00 PM,FSH Associates,8318 Forrest St,Ellicott City,21043,"(39.2427,-76.7646)",,POINT (1379014.6789343506 573987.9710661918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e5,Sidehill Road Property,,13-05-2003,28-05-2003,10:00 AM,(On Site),end of Sidehill Rd,Ellicott City,21042,"(39.2705,-76.8198)",,POINT (1363389.0891243517 584099.2871211916),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e6,"Village Towns, Phase III",,08-05-2003,27-05-2003,5:30 PM,"Mildenberg, Boender & Associates., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.1785,-76.7833)",,POINT (1373719.5212303512 550657.2138591912),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e7,Spence Property,,08-05-2003,27-05-2003,5:30 PM,Brantly Development Group,8835-P Columbia 100 Pky,Columbia,21045,"(39.2197,-76.7891)",,POINT (1372071.7987463512 565629.452831192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e8,5073 South Ilchester Road,,01-05-2003,22-05-2003,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2229,-76.7661)",,POINT (1378586.2406945378 566805.1398063041),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3e9,Coon Property,,30-04-2003,21-05-2003,5:30 PM,"Mildenberg, Boender & Associates, Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.1329,-76.8827)",,POINT (1345551.5154843517 534065.6369841918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ea,Old Scaggsville Road Subdivision,,02-05-2003,19-05-2003,6:00 PM,Eastern Homes,8291 Washington Blvd,Jessup,20794,"(39.1229,-76.8648)",,POINT (1350632.134846352 530425.4904741906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3eb,In-Law Apt. - CONDITIONAL USE,,28-04-2003,13-05-2003,7:00 PM,(On Site),4431 Keenan Dr,Ellicott City,21042,"(39.2514,-76.8301)",,POINT (1360463.2055803537 577143.7344441898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ec,Ferguson/Dasher Properties,,22-04-2003,13-05-2003,5:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,"(39.1978,-76.7952)",,POINT (1370365.4112203494 557669.132441191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ed,Christ Evangelical Lutheran Church - COND. USE,,24-04-2003,12-05-2003,6:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21042,"(39.2014,-76.9448)",,POINT (1327967.023402352 558987.0036651902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ee,Cedar Lane Active Adult Community - ZONING BD CASE,,22-04-2003,08-05-2003,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,"(39.1988,-76.8858)",,POINT (1344683.7263123542 558020.055656191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ef,Centennial Overlook,,08-04-2003,08-05-2003,6:30 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.2454,-76.8656)",,POINT (1350401.1589563526 574959.6465381905),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f0,Cedar Lane Active Adult - ZONING BOARD CASE,,22-04-2003,08-05-2003,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,"(39.1956,-76.8874)",,POINT (1344215.256194353 556872.3731001914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f1,Taylor Farm at Waverly,,21-04-2003,07-05-2003,5:00 PM,"Benchmark Engineering, Inc.",8480 Baltimore National Pike  Ste 418,Ellicott City,21043,"(39.3162,-76.8879)",,POINT (1344074.4034123532 600715.2286131904),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f2,4556 Bonnie Branch Road,,09-04-2003,29-04-2003,6:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2456,-76.7761)",,POINT (1375765.9959563538 575052.3775431924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f3,Shalom Miracle Church - CONDITIONAL USE,,14-04-2003,28-04-2003,6:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21042,"(39.2841,-76.8758)",,POINT (1347508.7173203528 589049.304533191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f4,Bethel Korean Presbyterian Church - COND. USE,,26-03-2003,16-04-2003,7:00 PM,(On Site),3165 St. Johns Ln,Ellicott City,21043,"(39.2846,-76.8268)",,POINT (1361383.7082683519 589222.0387581903),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f5,Hawes Property,,27-03-2003,15-04-2003,5:00 PM,"Security Development, LLC",8480 Baltimore National Pike  Ste 415,Ellicott City,21043,"(39.265,-76.8203)",,POINT (1363236.3332903497 582089.0243931897),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f6,Wehland Property,,25-03-2003,15-04-2003,5:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.201,-76.7384)",,POINT (1386445.5842543542 558816.0876951907),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f7,Sapphire Ridge Adult Community,,28-03-2003,11-04-2003,5:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,"(39.2852,-76.8203)",,POINT (1363228.1145163514 589432.2290361933),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f8,Richmond Property,,27-03-2003,11-04-2003,5:00 PM,,5825 Rockburn Woods Way,Elkridge,21075,"(39.2145,-76.9218)",,POINT (1334480.8269063532 563723.9215911925),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3f9,Cedar Lane Active Adult,,21-03-2003,10-04-2003,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,"(39.1956,-76.8874)",,POINT (1344215.256194353 556872.3731001914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3fa,Sullivan Property,,19-03-2003,09-04-2003,6:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2922,-76.7963)",,POINT (1370046.0126583502 592009.0600221902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3fb,Friendly Farms,,25-03-2003,08-04-2003,5:00 PM,"Benchmark Engineering, Inc.",8480 Baltimore National Pike  Ste 418,Ellicott City,21043,"(39.3165,-76.8876)",,POINT (1344169.6278283484 600841.4155101925),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3fc,Electrolysis - CONDITIONAL USE,,21-03-2003,04-04-2003,10:00 AM,(On Site),5835 Trotter Rd,Clarksville,21029,"(39.2109,-76.9178)",,POINT (1335616.4347483516 562436.9607021902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3fd,Woodrow Property,,14-03-2003,04-04-2003,5:30 PM,"Mildenberg, Boender & Assoc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2351,-76.7953)",,POINT (1370321.1998843513 571213.6775871906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3fe,Woodcrest II  (Ema Ct),,13-03-2003,29-03-2003,3:00 PM,Elkridge Library,6734 Washington Blvd,Elkridge,21227,"(39.1978,-76.7914)",,POINT (1371420.1010794826 557660.6318905074),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_3ff,Manordale Lane Property,,11-03-2003,27-03-2003,5:30 PM,"Mildenberg, Boender & Assoc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2667,-76.8222)",,POINT (1362702.679792352 582733.0503141917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_400,Wehland Property,,20-02-2003,25-03-2003,8:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.2131,-76.7324)",,POINT (1388146.8704723492 563210.4463791922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_401,Eberhart Property,,20-02-2003,25-03-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.293,-76.8023)",,POINT (1368335.3740423545 592299.2535201907),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_402,Port Capital Center of Maryland,,04-03-2003,20-03-2003,6:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.1763,-76.7791)",,POINT (1374909.259618353 549842.6356191915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_403,Wierkowski Property,,04-03-2003,20-03-2003,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2154,-76.7267)",,POINT (1389768.5196043514 564067.2081351914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_404,Gill Property,,04-03-2003,20-03-2003,6:15 PM,Land Design & Development,8000 Main St,Ellicott City,21043,"(39.2235,-76.9239)",,POINT (1333866.4026983492 567027.6909261923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_405,Cedar Lane Active Adult Community,,26-02-2003,13-03-2003,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,"(39.1988,-76.8858)",,POINT (1344683.7263123542 558020.055656191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_406,Childs Property,,26-02-2003,13-03-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.2849,-76.8577)",,POINT (1352625.3292443492 589354.4077221919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_407,Meredith Ave,,19-02-2003,10-03-2003,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,"(39.1114,-76.8378)",,POINT (1358287.4977183528 526255.5044571925),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_408,Welk II Property,,13-02-2003,03-03-2003,5:30 PM,"Mildenberg, Boender & Assoc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.1996,-76.8633)",,POINT (1351051.8591323532 558301.1578791905),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_409,Basham Property,,10-02-2003,03-03-2003,8:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1938,-76.7247)",,POINT (1390345.5342203528 556197.4368441906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40a,Cedar Woods,,13-02-2003,03-03-2003,6:00 PM,"Mildenberg, Boender & Assoc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2328,-76.763)",,POINT (1379489.9507963508 570393.2809311897),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40b,Wecker Property,,10-02-2003,03-03-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1935,-76.7239)",,POINT (1390567.441118352 556091.97805419),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40c,Johnson Project,,05-02-2003,27-02-2003,5:30 PM,Brantly Development Group,8835-P Columbia 100 Pky,Columbia,21045,"(39.2035,-76.9416)",,POINT (1328857.2016483508 559729.2153561898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40d,Age restricted housing - CONDITIONAL USE,,30-01-2003,25-02-2003,6:30 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1495,-76.8147)",,POINT (1364820.5728303492 540110.9712081905),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40e,Garno Property,,10-02-2003,25-02-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.261,-76.8099)",,POINT (1366189.7072163522 580635.874997193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_40f,Bergolios Property,,10-02-2003,25-02-2003,8:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1996,-76.7228)",,POINT (1390866.4344483502 558314.612966191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_410,ReVisions Property,,04-02-2003,19-02-2003,7:00 PM,"Reese & Carney, LLP",10715 Charter Dr  Ste 200,Columbia,21044,"(39.2082,-76.7442)",,POINT (1384809.481416352 561440.920613192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_411,Age restricted housing - CONDITIONAL USE,,04-02-2003,18-02-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1515,-76.8104)",,POINT (1366038.9352243505 540830.2728861906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_412,4087 High Point Road,,27-01-2003,13-02-2003,7:00 PM,Offices of Malloy & Malloy,3685 Park Ave,Ellicott City,21043,"(39.2571,-76.8228)",,POINT (1362537.1706883535 579235.454996191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_413,Summer Haven,,24-01-2003,13-02-2003,4:00 PM,FSH Associates,8318 Forrest St,Ellicott City,21043,"(39.1984,-76.7262)",,POINT (1389916.1741303504 557868.7768401932),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_414,McQuay Property,,24-01-2003,10-02-2003,7:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.1933,-76.7347)",,POINT (1387511.4742203504 556017.429599192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_415,Hoffman Property,,17-01-2003,07-02-2003,4:00 PM,"Exploration Research, Inc.",8318 Forrest St,Ellicott City,21043,"(39.2927,-76.8025)",,POINT (1368291.4461123496 592159.9751871917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_416,Albright Property,,14-01-2003,05-02-2003,5:30 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2132,-76.7183)",,POINT (1392154.7981243506 563250.4479891919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_417,"A Resubdivision of Lot 273, Stone Crest",,15-01-2003,29-01-2003,5:30 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,"(39.253,-76.8095)",,POINT (1366297.6849023513 577741.9403391927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_418,Fincham Property,,27-12-2002,29-01-2003,5:30 PM,"Land Design and Development, Inc.",8000 Main St,Ellicott City,21043,"(39.2363,-76.7833)",,POINT (1373735.675372351 571669.3322901912),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_419,OCHS Property,,10-01-2003,27-01-2003,5:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2202,-76.7895)",,POINT (1371960.4201883525 565809.8237271924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41a,Dayson Property,,07-01-2003,21-01-2003,5:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,"(39.2131,-76.7686)",,POINT (1377890.9741443507 563241.7203651927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41b,St. John's Crossing,,07-01-2003,21-01-2003,6:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,"(39.2971,-76.842)",,POINT (1357101.443608351 593783.3132511918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41c,Montgomery Road Property - Parcel 58,,23-12-2002,10-01-2003,4:30 PM,(On Site),6397 Montgomery Rd,Elkridge,21075,"(39.2127,-76.7589)",,POINT (1380640.0123443492 563070.0770931914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41d,Herrmann Property,,18-12-2002,09-01-2003,5:30 PM,"Land Design & Development, Inc.",8000 Main St,Ellicott City,21043,"(39.2246,-76.7731)",,POINT (1376611.6794603504 567422.9795631915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41e,Hammonds View,,26-12-2002,09-01-2003,4:00 PM,Cornerstone Homes,9692 Norfolk Ave,Laurel,20723,"(39.13,-76.846)",,POINT (1355946.5641583502 533019.0494061932),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_41f,Bethel Korean Presbyterian Church - COND. USE,,10-12-2002,08-01-2003,7:00 PM,(On Site - Small Chapel),3165 St. John's Ln,Ellicott City,21042,"(39.2846,-76.8268)",,POINT (1361383.7082683519 589222.0387581903),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_420,Montgomery Road Property - Parcel 700,,13-12-2002,02-01-2003,4:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2101,-76.731)",,POINT (1388555.54192435 562135.4940231927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_421,First Baptist Church of Guilford - CONDITIONAL USE,,06-12-2002,23-12-2002,6:30 PM,(On Site),7504 Oakland Mills Rd,Columbia,21046,"(39.1651,-76.8319)",,POINT (1359941.7385403514 545763.5623521898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_422,Nicotra Property,,04-12-2002,18-12-2002,7:00 PM,Savage Library,9525 Durness Ln,Laurel,20723,"(39.1491,-76.8287)",,POINT (1360853.45564235 539970.9655731898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_423,Hecht Property,,04-12-2002,17-12-2002,4:30 PM,(On Site),3116 Bethany Lane,Ellicott City,21042,"(39.2854,-76.8589)",,POINT (1352307.6311183497 589527.505598193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_424,Nursing Home - CONDITIONAL USE,,25-11-2002,17-12-2002,4:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.1338,-76.8844)",,POINT (1345058.955856353 534379.8314481918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_425,Harding Road,,25-11-2002,17-12-2002,5:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.1338,-76.8844)",,POINT (1345058.955856353 534379.8314481918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_426,Bowen Property,,02-12-2002,16-12-2002,4:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,"(39.2304,-76.7906)",,POINT (1371650.9408363514 569528.1552021913),
